The Dark Knight	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.	2008-07-18	SciFi, Thriller	2003	8.9	https://www.youtube.com/watch?v=r5X-hFf6Bwo	https://www.youtube.com/watch?v=r5X-hFf6Bwo	Marlon Brando,Al Pacino,James Caan	Peter Jackson	142	6	https://www.imdb.com/title/tt0110912/mediaviewer/rm3893227520	https://www.example.com/background4.jpg	#333333	Mike Davis	mikedavis@example.com	https://www.example.com/avatar.jpg
Pulp Fiction	Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.	1972-03-24	Thriller	1994	9	https://www.youtube.com/watch?v=r5X-hFf6Bwo	https://www.youtube.com/watch?v=sY1S34973zA	Elijah Wood,Viggo Mortensen,Ian McKellen	Francis Ford Coppola	175	6	https://www.imdb.com/title/tt0468569/mediaviewer/rm3571351040	https://www.example.com/background2.jpg	#111111	Samantha Brown	samanthabrown@example.com	https://www.example.com/avatar.jpg
The Lord of the Rings: The Return of the King	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.	2008-07-18	Drama, Horror, Family, Romance, SciFi	1972	9	https://www.youtube.com/watch?v=r5X-hFf6Bwo	https://www.youtube.com/watch?v=sY1S34973zA	Marlon Brando,Al Pacino,James Caan	Peter Jackson	175	20	https://www.imdb.com/title/tt0110912/mediaviewer/rm3893227520	https://www.example.com/background2.jpg	#111111	Bob Johnson	bobjohnson@example.com	https://www.example.com/avatar.jpg
Pulp Fiction	The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	1972-03-24	Documentary, Drama, Horror, Family, Romance	1972	9.2	https://www.youtube.com/watch?v=sY1S34973zA	https://www.youtube.com/watch?v=sY1S34973zA	Elijah Wood,Viggo Mortensen,Ian McKellen	Christopher Nolan	201	2	https://www.imdb.com/title/tt0068646/mediaviewer/rm3893227520	https://www.example.com/background4.jpg	#333333	Jane Smith	janesmith@example.com	https://www.example.com/avatar.jpg
The Shawshank Redemption	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.	1972-03-24	Thriller	1994	8.9	https://www.youtube.com/watch?v=EXeTwQWrcwY	https://www.youtube.com/watch?v=r5X-hFf6Bwo	Marlon Brando,Al Pacino,James Caan	Quentin Tarantino	201	11	https://www.imdb.com/title/tt0068646/mediaviewer/rm3893227520	https://www.example.com/background3.jpg	#222222	Samantha Brown	samanthabrown@example.com	https://www.example.com/avatar.jpg
The Godfather	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.	2003-12-17	Drama, Horror, Family, Romance, SciFi, Thriller	2003	9	https://www.youtube.com/watch?v=6hB3S9bIaco	https://www.youtube.com/watch?v=sY1S34973zA	Elijah Wood,Viggo Mortensen,Ian McKellen	Peter Jackson	154	8	https://www.imdb.com/title/tt0167260/mediaviewer/rm3893227520	https://www.example.com/background3.jpg	#222222	John Doe	johndoe@example.com	https://www.example.com/avatar.jpg
Pulp Fiction	The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	1994-10-14	Drama, Horror, Family, Romance	2003	9	https://www.youtube.com/watch?v=r5X-hFf6Bwo	https://www.youtube.com/watch?v=sY1S34973zA	Tim Robbins,Morgan Freeman,Bob Gunton	Christopher Nolan	175	8	https://www.imdb.com/title/tt0468569/mediaviewer/rm3571351040	https://www.example.com/background4.jpg	#333333	Bob Johnson	bobjohnson@example.com	https://www.example.com/avatar.jpg
The Godfather	The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	2008-07-18	Documentary, Drama, Horror, Family, Romance	2003	9	https://www.youtube.com/watch?v=sY1S34973zA	https://www.youtube.com/watch?v=EXeTwQWrcwY	Marlon Brando,Al Pacino,James Caan	Frank Darabont	152	3	https://www.imdb.com/title/tt0167260/mediaviewer/rm3893227520	https://www.example.com/background5.jpg	#444444	Samantha Brown	samanthabrown@example.com	https://www.example.com/avatar.jpg
The Godfather	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.	1972-03-24	Drama, Horror, Family, Romance, SciFi, Thriller	2003	9.3	https://www.youtube.com/watch?v=s7EdQ4FqbhY	https://www.youtube.com/watch?v=sY1S34973zA	Christian Bale,Heath Ledger,Aaron Eckhart	Frank Darabont	175	28	https://www.imdb.com/title/tt0111161/mediaviewer/rm3877287168	https://www.example.com/background3.jpg	#222222	John Doe	johndoe@example.com	https://www.example.com/avatar.jpg
The Godfather	The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	2008-07-18	Horror, Family, Romance, SciFi, Thriller	1972	8.9	https://www.youtube.com/watch?v=r5X-hFf6Bwo	https://www.youtube.com/watch?v=EXeTwQWrcwY	Tim Robbins,Morgan Freeman,Bob Gunton	Christopher Nolan	201	5	https://www.imdb.com/title/tt0110912/mediaviewer/rm3893227520	https://www.example.com/background3.jpg	#222222	Bob Johnson	bobjohnson@example.com	https://www.example.com/avatar.jpg
